dutch_word,german_word,difficulty
zon,Sonne,easy
kat,Katze,easy
dag,Tag,easy
huis,Haus,intermediate
vrijdag,Freitag,intermediate
zondag,Sonntag,intermediate
bibliotheek,Bibliothek,expert
televisie,Fernseher,expert
universiteit,Universität,expert
zon,Sonne,easy
kat,Katze,easy
dag,Tag,easy
man,Mann,easy
boom,Baum,easy
hond,Hund,easy
boek,Buch,easy
deur,Tür,easy
melk,Milch,easy
auto,Auto,intermediate
vrijdag,Freitag,intermediate
zondag,Sonntag,intermediate
tafel,Tisch,intermediate
stoel,Stuhl,intermediate
vriend,Freund,intermediate
vogel,Vogel,intermediate
bloem,Blume,intermediate
kinderen,Kinder,intermediate
bibliotheek,Bibliothek,expert
televisie,Fernseher,expert
universiteit,Universität,expert
verjaardag,Geburtstag,expert
regering,Regierung,expert
computer,Rechner,expert
telefoon,Telefon,expert
restaurant,Restaurant,expert
informatie,Information,expert
raam,Fenster,easy
fiets,Fahrrad,easy
water,Wasser,easy
brood,Brot,easy
wijn,Wein,easy
kaas,Käse,easy
muis,Maus,easy
eend,Ente,easy
reis,Reise,intermediate
schoen,Schuh,intermediate
vliegtuig,Flugzeug,intermediate
zwembad,Schwimmbad,intermediate
keuken,Küche,intermediate
hoofd,Kopf,intermediate
arm,Arm,intermediate
been,Bein,intermediate
oog,Auge,intermediate
zakenman,Geschäftsmann,expert
onderwijs,Bildung,expert
ziekenhuis,Krankenhaus,expert
voetballer,Fußballspieler,expert
bibliothecaris,Bibliothekar,expert
fotograaf,Fotograf,expert
telecommunicatie,Telekommunikation,expert
universum,Universum,expert